Title,Date
"O Poço","27/07/2020"
"Nada Ortodoxa: Limited Série: Parte 1","27/07/2020"
"365 dni","27/07/2020"
"A Barraca do Beijo 2","27/07/2020"
"A Barraca do Beijo","26/07/2020"
"Patch Adams, o Amor é Contagioso","26/07/2020"
"Anne with an E: Temporada 3: De coração para coração","25/07/2020"
"Anne with an E: Temporada 3: Uma escuridão assustadora","25/07/2020"
"Anne with an E: Temporada 3: Mudança boa e repentina","25/07/2020"
"Anne with an E: Temporada 3: Esforço pelo bem","25/07/2020"
"Anne with an E: Temporada 3: O que eu mais quero","25/07/2020"
"Anne with an E: Temporada 3: Sou destemida e empoderada","25/07/2020"
"Anne with an E: Temporada 3: Espero encontrá-la em outro mundo","25/07/2020"
"Anne with an E: Temporada 3: Um coração determinado","25/07/2020"
"Anne with an E: Temporada 3: Não entendo o que minha alma diz","25/07/2020"
"Anne with an E: Temporada 3: Um segredo que eu pedi","25/07/2020"
"Anne with an E: Temporada 2: O que há de bom no mundo","25/07/2020"
"Anne with an E: Temporada 2: O que fomos faz parte daquilo que somos","24/07/2020"
"Anne with an E: Temporada 2: Na luta contra as evidências","24/07/2020"
"Anne with an E: Temporada 2: Lembranças podem variar tanto quanto o humor","24/07/2020"
"Anne with an E: Temporada 2: Eu me recuso a qualquer conclusão definitiva","24/07/2020"
"Anne with an E: Temporada 2: Os atos que determinaram a vida dela","24/07/2020"
"Anne with an E: Temporada 2: A ansiedade dolorida da esperança em vão","24/07/2020"
"Anne with an E: Temporada 2: O que importa é o que está dentro","24/07/2020"
"Anne with an E: Temporada 2: Pequenos detalhes são mensuráveis, significados são infinitos","24/07/2020"
"Anne with an E: Temporada 2: Ser jovem é ter esperança","24/07/2020"
"Anne with an E: Temporada 1: Onde você estiver, será meu lar","24/07/2020"
"Anne with an E: Temporada 1: O remorso é o veneno da vida","24/07/2020"
"Anne with an E: Temporada 1: Um laço de amizade","23/07/2020"
"Anne with an E: Temporada 1: Um tesouro vindo da alma","23/07/2020"
"Anne with an E: Temporada 1: Obstinada como a juventude","23/07/2020"
"Anne with an E: Temporada 1: Sou livre e nada me prende","23/07/2020"
"Anne with an E: Temporada 1: Sua determinação dita seu destino","23/07/2020"
"O Menino que Descobriu o Vento","12/07/2020"
"Comer Rezar Amar","11/06/2020"
"Milagre na Cela 7","26/04/2020"
"Amor em Obras","18/04/2020"
"Explicando: Temporada 1: O mercado de ações","15/11/2019"
" ","15/11/2019"
"Deixe a Neve Cair","11/11/2019"
"O Rei","04/11/2019"
"A Ganha-Pão","23/10/2019"
"O Código Bill Gates: Limited Série: Parte 2","20/10/2019"
"O Código Bill Gates: Limited Série: Parte 1","20/10/2019"
"O Sorriso de Monalisa","19/10/2019"
"Vis a vis: Temporada 4: A maré amarela","07/10/2019"
"Vis a vis: Temporada 4: De volta ao lar","07/10/2019"
"Vis a vis: Temporada 4: Pessoa má","06/10/2019"
"Vis a vis: Temporada 4: Traição","06/10/2019"
"Vis a vis: Temporada 4: Mãe","06/10/2019"
"Vis a vis: Temporada 4: Limite da dor","06/10/2019"
"Vis a vis: Temporada 4: A fuga","05/10/2019"
"Vis a vis: Temporada 4: A Barbie","05/10/2019"
"Vis a vis: Temporada 3: O que sabemos sobre os monstros","05/10/2019"
"Vis a vis: Temporada 3: Fomos garotas","04/10/2019"
"Vis a vis: Temporada 3: Seis meses é muito tempo","04/10/2019"
"Vis a vis: Temporada 3: Alguém que desse bola","02/10/2019"
"Vis a vis: Temporada 3: A bandeira no muro","02/10/2019"
"Vis a vis: Temporada 3: Um grão de arroz","30/09/2019"
"Vis a vis: Temporada 3: Muito fácil ou muito difícil","30/09/2019"
"Vis a vis: Temporada 3: Cruz do Norte","29/09/2019"
"Vis a vis: Temporada 2: Líquido","29/09/2019"
"Vis a vis: Temporada 2: Banana e limão","28/09/2019"
"Vis a vis: Temporada 2: Protetora dos desesperados","27/09/2019"
"Vis a vis: Temporada 2: Pecados e confusões","27/09/2019"
"Vis a vis: Temporada 2: Prendendo os dedos","25/09/2019"
"Vis a vis: Temporada 2: A vida continua","24/09/2019"
"Vis a vis: Temporada 2: Um dia de campo","24/09/2019"
"Vis a vis: Temporada 2: Os macacos","22/09/2019"
"Vis a vis: Temporada 2: Na linha de fogo","22/09/2019"
"Vis a vis: Temporada 2: Um corpo no porta-malas","21/09/2019"
"Vis a vis: Temporada 2: A pequena galinha","19/09/2019"
"Vis a vis: Temporada 2: Lar, doce lar","19/09/2019"
"Vis a vis: Temporada 2: Duas armas a um macaco","19/09/2019"
"Vis a vis: Temporada 1: O princípio das tartarugas","11/09/2019"
"Vis a vis: Temporada 1: Gato cinza","10/09/2019"
"Vis a vis: Temporada 1: Quid pro quo","10/09/2019"
"Vis a vis: Temporada 1: Mulher bonita","09/09/2019"
"Vis a vis: Temporada 1: Às cinco em ponto","09/09/2019"
"Vis a vis: Temporada 1: Alguém vem buscar você","08/09/2019"
"Vis a vis: Temporada 1: Dura realidade","08/09/2019"
"Vis a vis: Temporada 1: Um dia no mato","08/09/2019"
"Vis a vis: Temporada 1: Nada acontece por acaso","07/09/2019"
"Vis a vis: Temporada 1: Consertando Sininho","07/09/2019"
"Vis a vis: Temporada 1: Mosca-morta","07/09/2019"
"13 Reasons Why: Tentando Entender os Porquês: Temporada 3: Tentando entender os porquês - Temporada 3","07/09/2019"
"13 Reasons Why: Temporada 3: Deixe os mortos enterrarem os mortos","07/09/2019"
"13 Reasons Why: Temporada 3: E aí o furacão chegou","02/09/2019"
"13 Reasons Why: Temporada 3: Tem umas coisas que eu não te contei","02/09/2019"
"Eu, tu e ela: Temporada 1: Três é demais","01/09/2019"
"13 Reasons Why: Temporada 3: O cerco está se fechando","01/09/2019"
"13 Reasons Why: Temporada 3: Sempre esperando pelas próximas más notícias","01/09/2019"
