Title,Date
"Star Trek: Discovery: Temporada 1: A faca do açougueiro não ouve o berro do cordeiro","01/09/2020"
"Star Trek: Discovery: Temporada 1: Contexto é para reis","31/08/2020"
"Star Trek: Discovery: Temporada 1: Batalha das Estrelas Binárias","31/08/2020"
"Star Trek: Discovery: Temporada 1: O olá vulcano","31/08/2020"
"The OA: Parte 1: Capítulo 1: O retorno","31/08/2020"
"As Novas Aventuras do Macaco: Temporada 1: A volta do Rei Macaco","30/08/2020"
"Virgin River: Temporada 1: Todo mundo tem segredos","30/08/2020"
"Virgin River: Temporada 1: Verdades reveladas","30/08/2020"
"Virgin River: Temporada 1: Fez-se a luz","30/08/2020"
"O Tesouro Perdido","30/08/2020"
"Virgin River: Temporada 1: Folia do Luar","30/08/2020"
"Virgin River: Temporada 1: Sob fogo","30/08/2020"
"Enemigo íntimo: Temporada 1: Roxana e Ochún são cúmplices","30/08/2020"
"Virgin River: Temporada 1: Coração machucado","30/08/2020"
"Virgin River: Temporada 1: Encontrada","29/08/2020"
"Virgin River: Temporada 1: Perdidos","29/08/2020"
"Lucifer: Temporada 1: Piloto","29/08/2020"
"Zoo: Temporada 1: Primeira vitória","28/08/2020"
"Glitch: Temporada 1: Os que foram e voltaram","28/08/2020"
"Perdidos no Espaço: Temporada 1: Impacto","28/08/2020"
"Virgin River: Temporada 1: Seguir em frente","27/08/2020"
"Enemigo íntimo: Temporada 1: Roxana e Tilápia fazem amor","27/08/2020"
"Vis a vis: Temporada 1: Alguém vem buscar você","26/08/2020"
"Biohackers: Temporada 1: Destino","26/08/2020"
"Biohackers: Temporada 1: Traições","25/08/2020"
"Biohackers: Temporada 1: Chegada","25/08/2020"
"Biohackers: Temporada 1: Certezas","25/08/2020"
"Biohackers: Temporada 1: Desconfiança","23/08/2020"
"Biohackers: Temporada 1: Segredos","23/08/2020"
"10.000 A.C.","22/08/2020"
"Vis a vis: Temporada 1: Dura realidade","22/08/2020"
"Vis a vis: Temporada 1: Um dia no mato","22/08/2020"
"Vis a vis: Temporada 1: Nada acontece por acaso","21/08/2020"
"Vis a vis: Temporada 1: Consertando Sininho","21/08/2020"
"Vis a vis: Temporada 1: Mosca-morta","21/08/2020"
"Warrior Nun: Temporada 1: Apocalipse 2:10","20/08/2020"
"Warrior Nun: Temporada 1: 2 Coríntios 10:4","20/08/2020"
"Warrior Nun: Temporada 1: Provérbios 14:1","20/08/2020"
"Warrior Nun: Temporada 1: Efésios 4:22-24","20/08/2020"
"Warrior Nun: Temporada 1: Isaías 30:20-21","20/08/2020"
