Title,Date
"A Ordem: Temporada 2: Radicais livres – Parte 2","01/09/2020"
"A Ordem: Temporada 2: Radicais livres – Parte 1","01/09/2020"
"A Ordem: Temporada 1: Finais - Parte 2","31/08/2020"
"A Ordem: Temporada 1: Finais - Parte 1","31/08/2020"
"A Ordem: Temporada 1: Nada a declarar - Parte 2","31/08/2020"
"A Ordem: Temporada 1: Nada a declarar - Parte 1","31/08/2020"
"A Ordem: Temporada 1: Volta ao lar - Parte 2","30/08/2020"
"A Ordem: Temporada 1: Volta ao lar - Parte 1","30/08/2020"
"A Ordem: Temporada 1: Introdução à Ética - Parte 2","30/08/2020"
"A Ordem: Temporada 1: Introdução à Ética - Parte 1","29/08/2020"
"A Ordem: Temporada 1: Semana infernal - Parte 2","29/08/2020"
"A Ordem: Temporada 1: Semana infernal - Parte 1","29/08/2020"
"Harry Potter e a Ordem da Fênix","28/08/2020"
"Lucifer: Temporada 5: Aviso de spoiler","25/08/2020"
"Lucifer: Temporada 5: Sexo e magia","25/08/2020"
"Lucifer: Temporada 5: Vai rolar?","24/08/2020"
"Lucifer: Temporada 5: Detetive Amenadiel","24/08/2020"
"Lucifer: Temporada 5: O frango nunca se dá bem","24/08/2020"
"Lucifer: Temporada 5: Mais um diabo","23/08/2020"
"Lucifer: Temporada 5: Lucifer! Lucifer! Lucifer!","23/08/2020"
"Lucifer: Temporada 5: Diabo triste","23/08/2020"
"Expresso do Amanhã: Temporada 1: O universo é indiferente","23/08/2020"
"Expresso do Amanhã: Temporada 1: De onde menos se espera...","23/08/2020"
"Expresso do Amanhã: Temporada 1: A justiça não embarcou","22/08/2020"
"Expresso do Amanhã: Temporada 1: Sem seu criador","22/08/2020"
"Expresso do Amanhã: Temporada 1: Acesso é poder","22/08/2020"
"Expresso do Amanhã: Temporada 1: Preparem-se!","22/08/2020"
"Expresso do Amanhã: Temporada 1: Primeiro, o clima mudou","21/08/2020"
"Power","21/08/2020"
"Dançarina Imperfeita","20/08/2020"
"Feel the Beat","17/08/2020"
"Harry Potter e a Câmara Secreta","17/08/2020"
"Cursed - A Lenda do Lago: Temporada 1: O sacrifício","16/08/2020"
"Cursed - A Lenda do Lago: Temporada 1: Venenos","16/08/2020"
"Cursed - A Lenda do Lago: Temporada 1: A Rainha Feérica","15/08/2020"
"Cursed - A Lenda do Lago: Temporada 1: Traga-nos boa cerveja","15/08/2020"
"Cursed - A Lenda do Lago: Temporada 1: Festa e Moreii","15/08/2020"
"Cursed - A Lenda do Lago: Temporada 1: O casamento","15/08/2020"
"Cursed - A Lenda do Lago: Temporada 1: Lago de sangue","15/08/2020"
"Cursed - A Lenda do Lago: Temporada 1: Isolada","14/08/2020"
"Cursed - A Lenda do Lago: Temporada 1: Amaldiçoada","10/08/2020"
"Cursed - A Lenda do Lago: Temporada 1: Nimue","08/08/2020"
"Titãs: Temporada 2: Fantasmas","08/08/2020"
"Titãs: Temporada 2: Rose","08/08/2020"
"Titãs: Temporada 2: Trigon","08/08/2020"
"The Umbrella Academy: Temporada 2: Procurados","08/08/2020"
"The Umbrella Academy: Temporada 2: 743","08/08/2020"
"The Umbrella Academy: Temporada 2: Os sete estágios","07/08/2020"
"The Umbrella Academy: Temporada 2: Oga Foroga","07/08/2020"
"The Umbrella Academy: Temporada 2: Refeição leve","06/08/2020"
"The Umbrella Academy: Temporada 2: Valhala","06/08/2020"
"The Umbrella Academy: Temporada 2: Os Doze Majestosos","06/08/2020"
"The Umbrella Academy: Temporada 2: Rastros","06/08/2020"
"The Umbrella Academy: Temporada 2: O vídeo dos Frankel","06/08/2020"
"The Umbrella Academy: Temporada 2: De volta ao início","04/08/2020"
"The Umbrella Academy: Temporada 1: A gente só se encontra em casamentos e funerais","04/08/2020"
"Dark: Temporada 1: Segredos","25/07/2020"
"Merlí: Temporada 3: Episódio 14","06/07/2020"
"13 Reasons Why: Temporada 4: Entrou na faculdade?","16/06/2020"
"13 Reasons Why: Temporada 4: Entrevista de admissão","16/06/2020"
"13 Reasons Why: Temporada 4: Segurança máxima","15/06/2020"
"13 Reasons Why: Temporada 4: Festa","15/06/2020"
"Riverdale: Temporada 1: Capítulo dois: Toque do mal","15/06/2020"
"13 Reasons Why: Temporada 3: Deixe os mortos enterrarem os mortos","12/06/2020"
"Merlí: Temporada 3: Episódio 13","11/06/2020"
"Lucifer: Temporada 4: Quem é o novo rei do inferno?","26/05/2020"
"Lucifer: Temporada 4: Salvem Lucifer","25/05/2020"
"Nada a Esconder","16/05/2020"
"Amor em Obras","16/05/2020"
"Um Amor, Mil Casamentos","04/05/2020"
"Elite: Temporada 3: Rebeca","04/05/2020"
"Toy Boy: Temporada 1: O julgamento final","13/04/2020"
"Toy Boy: Temporada 1: Dentre os mortos","13/04/2020"
"Toy Boy: Temporada 1: Piloto","13/04/2020"
"Freud: Temporada 1: Histeria","05/04/2020"
